Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-13,2025-11-06,2025-08-07,2025-05-08,2025-02-20,2024-11-07,2024-08-07,2024-05-07,2024-02-15,2023-11-07,2023-08-09,2023-05-10,2023-05-10,2022-11-09,2022-08-12,2022-05-12,2022-02-25
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,11701427000,11288628000,10726126000,10081522000,9178098000,8217294000,7233803000,6536586000,5863432000,5469460000,5047982000,4584193000,4125584000,3608251000,3051931000,2543343000,1920961000
Revenue & Margin,Rev-CoGS / Sale (%),14.37775067946841,16.16281447134231,35.878638755502216,57.102062565553105,77.49954293362306,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),10.010497010321902,16.16281447134231,31.594501127434082,48.2277477547537,63.45129459284483,83.26733837197501,82.84069942186704,82.49913639933752,80.45092021191684,79.22198900805564,82.38539677835618,86.21124808663161,92.4911721588992,91.02576289731506,89.9978407113398,89.1610765830641,86.17468027721542
Revenue & Margin,Op. Income / Rev (%),-3.387253537538627,-1.8632999510657982,-1.243720239721219,1.5675113341021327,0.42910851463996136,0.4438322396642982,0.33170657260088504,-0.7835129836890389,-4.558763536440774,-6.288207610989019,-9.395932869808172,-12.475020139858858,-14.787603403542382,-16.10622431754332,-19.596412894000554,-21.97768842031924,-29.728922138450493
Revenue & Margin,Net Profit / Rev (%),-3.787153481365991,-2.16223796195605,-1.5031801789387893,1.2233767877508972,0.2770944481089655,0.3522935895928757,0.25086389551941074,-0.8198163383760269,-4.617227589575525,-6.339638648056664,-9.395021614577866,-12.453555075015386,-14.695495231705378,-16.064597501670477,-19.60132781507839,-21.993808935719642,-29.83439018283037
EBITDA,Net Income,-443151000,-244087000,-161233000,123335000,25432000,28949000,18147000,-53588000,-270728000,-346744000,-474259000,-570895000,-606275000,-579651000,-598219000,-559378000,-573107000
EBITDA,D & A,13700000,22933000,30433000,31064000,32145000,30654000,32345000,33566000,30694000,26687000,21554000,16423000,15283000,15518000,15105000,15001000,14605000
EBITDA,Net Int Inc,-17601000,-24724000,-23682000,-23826000,-23734000,-23925000,-24240000,-24369000,-24603000,-24521000,-24517000,-24538000,-22623000,-16885000,-11157000,-5244000,-4720000
EBITDA,Tax Provision,5606000,5449000,9332000,19014000,7305000,6903000,5742000,2269000,3294000,3385000,855000,-19000,-523000,81000,1099000,1398000,846000
EBITDA,EBITDA,-406244000,-190981000,-97786000,197239000,88616000,90431000,80474000,6616000,-212137000,-292151000,-427333000,-529953000,-568892000,-547167000,-570858000,-537735000,-552936000
EBITDA,Stock-Based Comp,49084000,74939000,104250000,108854000,109824000,110111000,109568000,114134000,159683000,162629000,162421000,156133000,112329000,111509000,103589000,94871000,86296000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,14.37,18.93,21.44,13.11,13.44,21.21,15.87,14.69,9.15,5.57,8.06,6.54,2.46,4.99,4.25,9.97,7.85
Capital Structure,O/S Shares,283247000,259273092,253417000,251279000,240386000,243106000,238672000,231443000,227082062,223098974,219400458,216913000,215194230,212822733,211311494,210547696,209775333
Capital Structure,Market Capitalization,4070259390,4908039631,5433260480,3294267690,3230787840,5156278260,3787724640,3399897670,2077800867,1242661285,1768367691,1418611020,529377805,1061985437,898073849,2099160529,1646736364
Capital Structure,Cash,2774151000,2148865000,2598942000,2236555000,1527186000,1206145000,2268154000,2230799000,1870315000,1399791000,2322069000,2109571000,1558595000,2112930000,2362632000,2068632000,1103995000
Capital Structure,Debt,430095000,686294000,299944000,299749000,299555000,299361000,299166000,298972000,298777000,298583000,298388000,298194000,297999000,297805000,297610000,297416000,0
Capital Structure,Enterprise Value,1726203390,3445468631,3134262480,1357461690,2003156840,4249494260,1818736640,1468070670,506262867,141453285,-255313309,-392765980,-731218195,-753139563,-1166948151,327944529,542741364
Capital Structure,netCommonStockIssuance,12841000,12897000,23567000,5728000,3817000,18560000,18702000,27309000,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,-4670000,352883000,0,0,0,0,0,0,0,0,0,0,0,0,0,305000000,0
Liquidity & Cash Flow,DSO,18.694579729463765,18.35359952511501,18.083706782858975,18.93287417316552,19.647551704067663,23.926977208068738,26.00012123636765,21.532301609739395,24.60373485187515,18.95968477692496,20.694066212993626,38.232120408106724,31.899049928446495,50.664959976453964,58.2607945592479,39.65072495137306,44.414951032321845
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,41.22272900806216,58.081596095886034,77.74923528636886,118.31415290773025,239.8671441382897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,CCC,-22.528149278598395,-39.727996570771026,-59.66552850350988,-99.38127873456473,-220.21959243422202,23.926977208068738,26.00012123636765,21.532301609739395,24.60373485187515,18.95968477692496,20.694066212993626,38.232120408106724,31.899049928446495,50.664959976453964,58.2607945592479,39.65072495137306,44.414951032321845
Liquidity & Cash Flow,OCF,1094854000,769771000,1234288000,1222372000,978193000,928241000,279116000,-52511000,-272159000,-417633000,183272000,232215000,380349000,263434000,222543000,63413000,-181745000
Liquidity & Cash Flow,CapEx,-36372000,-34129000,-32688000,-30973000,-27897000,-27180000,-26093000,-24148000,-25577000,-26605000,-29743000,-30144000,-29012000,-29088000,-25619000,-25549000,-25885000
Liquidity & Cash Flow,FCF,1058482000,735642000,1201600000,1191399000,950296000,901061000,253023000,-76659000,-297736000,-444238000,153529000,202071000,351337000,234346000,196924000,37864000,-207630000
BQR,Total Debt / Adj Ebitda,999.0,999.0,999.0,1.5197248008760944,3.3803714904757607,3.3103802899448196,3.7175485249894376,45.18923821039903,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,8.278309409888358,3.7337153450745766,3.779770114942529,3.319884488448845,0.27149246994131887,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
BQR,Net Income before extraordinary,-443151000,-244087000,-161233000,123335000,25432000,28949000,18147000,-53588000,-270728000,-346744000,-474259000,-570895000,-606275000,-579651000,-598219000,-559378000,-573107000
BQR,(NCO-CAPEX) / Total Debt (%),246.10423278577989,107.19050436110471,400.6081135145227,397.46554617363194,317.235899918212,300.99478555990925,84.57612161809831,-25.640862689482628,-99.65157960619459,-148.78208069448027,51.45280641312653,67.76494496871165,117.89871778093215,78.69108980708853,66.16847552165586,12.730989590338112,999.0
BQR,Score: Operating Leverage,75,75,75,35,48,48,48,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,45,58,58,58,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,42,48,48,52,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,15,15,15,15,15,15,15,75,75,75,15,15,15,15,15,55,15
BQR,BQR,60.0,60.0,60.0,33.25,41.25,41.25,42.25,75.0,75.0,75.0,60.0,60.0,60.0,60.0,60.0,70.0,60.0
